車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,營業距離,所在地,所在地.1
201,萇山,장산 （해운대백병원）,Jangsan,,-,0.0,釜山廣域市,海雲臺區
202,中洞,중동,Jung-dong,,0.9,0.9,釜山廣域市,海雲臺區
203,海雲臺,해운대,Haeundae,,0.9,1.8,釜山廣域市,海雲臺區
204,冬柏,동백,Dongbaek,,1.2,3.0,釜山廣域市,海雲臺區
205,BEXCO,벡스코 （시립미술관）,BEXCO,● 广域电铁东海线,1.1,4.1,釜山廣域市,海雲臺區
206,Centum City,센텀시티 （벡스코）,Centum City,,0.8,4.9,釜山廣域市,海雲臺區
207,民樂,민락,Millak,,1.0,5.9,釜山廣域市,水營區
208,水營,수영,Suyeong,● 釜山都市铁道3号线,0.9,6.8,釜山廣域市,水營區
209,廣安,광안,Gwangan,,0.9,7.7,釜山廣域市,水營區
210,金蓮山,금련산,Geumnyeonsan,,0.9,8.6,釜山廣域市,水營區
211,南川,남천 （KBS·수영구청）,Namcheon,,0.9,9.5,釜山廣域市,水營區
212,慶星大學·釜慶大學,경성대·부경대 （동명대학교）,Kyunsung Univ.·Pukyong Nat'l Univ.,,0.8,10.3,釜山廣域市,南區
213,大淵,대연 （부산고려병원）,Daeyeon,,0.9,11.2,釜山廣域市,南區
214,池谷,못골 （남구청）,Motgol,,0.7,11.9,釜山廣域市,南區
215,支架谷,지게골,Jigegol,,0.9,12.8,釜山廣域市,南區
216,門峴,문현,Munhyeon,,0.8,13.6,釜山廣域市,南區
217,國際金融中心·釜山銀行[1],국제금융센터·부산은행,Busan Int'l Finance Center·Busan Bank,,0.8,14.4,釜山廣域市,南區
218,田浦,전포,Jeonpo,,0.8,15.2,釜山廣域市,釜山鎮區
219,西面,서면,Seomyeon,● 釜山都市铁道1号线,1.1,16.3,釜山廣域市,釜山鎮區
220,釜岩,부암 （온종합병원）,Buam,,0.8,17.1,釜山廣域市,釜山鎮區
221,伽倻,가야,Gaya,,0.7,17.8,釜山廣域市,釜山鎮區
222,東義大學,동의대,Dong-eui Univ.,,0.9,18.7,釜山廣域市,釜山鎮區
223,開琴,개금 （인제대학교 부산백병원）,Gaegeum,,1.1,19.8,釜山廣域市,釜山鎮區
224,冷井,냉정,Naengjeong,,0.8,20.6,釜山廣域市,沙上区
225,周禮,주례,Jurye,,0.9,21.5,釜山廣域市,沙上区
226,甘田,감전 （사상구청）,Gamjeon,,1.2,22.7,釜山廣域市,沙上区
227,沙上,사상 （서부터미널）,Sasang,● 釜山－金海轻电铁 京釜線,1.1,23.8,釜山廣域市,沙上区
228,德浦,덕포,Deokpo,,1.2,25.0,釜山廣域市,沙上区
229,毛德,모덕,Modeok,,0.8,25.8,釜山廣域市,沙上区
230,毛羅,모라,Mora,,1.0,26.8,釜山廣域市,沙上区
231,龜南,구남,Gunam,,1.1,27.9,釜山廣域市,北區
232,龜明,구명,Gumyeong,,0.7,28.6,釜山廣域市,北區
233,德川,덕천 （부산과기대）,Deokcheon,● 釜山都市铁道3号线,1.2,29.8,釜山廣域市,北區
234,水亭,수정 （방송통신대）,Sujeong,,1.5,31.3,釜山廣域市,北區
235,華明,화명,Hwamyeong,京釜線,1.5,32.8,釜山廣域市,北區
236,栗里,율리,Yulli,,1.2,34.0,釜山廣域市,北區
237,東院,동원,Dongwon,,1.5,35.5,釜山廣域市,北區
238,金谷,금곡,Geumgok,,1.0,36.5,釜山廣域市,北區
239,湖浦,호포,Hopo,,1.5,38.0,慶尚南道,梁山市
240,甑山,증산,Jeungsan,,3.5,41.5,慶尚南道,梁山市
241,釜山大學梁山分校,부산대양산캠퍼스,Pusan Nat'l Univ. Yangsan Campus,,1.0,42.5,慶尚南道,梁山市
242,南梁山,남양산 （범어）,Namyangsan,,1.1,43.6,慶尚南道,梁山市
243,梁山,양산 （시청）,Yangsan,,1.6,45.2,慶尚南道,梁山市
