車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,營業距離,所在地,所在地.1
234,新道林,신도림,Sindorim,● 首都圈電鐵1號線 本線,0.0,0.0,首爾特別市,九老區
234-1,道林川,도림천,Dorimcheon,,1.0,1.0,首爾特別市,九老區
234-2,陽川區廳,양천구청,Yangcheon-gu Office,,1.7,2.7,首爾特別市,陽川區
234-3,新亭十字路口,신정네거리,Sinjeongnegeori,,1.9,4.6,首爾特別市,陽川區
234-4,喜鵲山,까치산,Kkachisan,● 首都圈電鐵5號線,1.4,6.0,首爾特別市,江西區
