路線,車站編號,中文站名,韓文站名,英文站名,急行,接續路線,接續路線.1,接續路線.2,站間距離,營業距離,所在地,所在地.1
安山線,447,半月,반월,Banwol,｜,,,,2.0,67.7,京畿道,安山市
安山線,448,常綠樹 （安山大學）,상록수 （안산대학교）,Sangnoksu （Ansan Univ.）,●,,,,3.7,71.4,京畿道,安山市
安山線,449,漢陽大學 （安山）,한대앞,Hanyang Univ. at Ansan,｜,,水仁·盆唐線 共線區間,,1.5,72.9,京畿道,安山市
安山線,450,中央 （首爾藝術大學）,중앙 （서울예술대학교）,Jungang （Seoul Inst. of the Arts）,●,,水仁·盆唐線 共線區間,,1.6,74.5,京畿道,安山市
安山線,451,古栈 （高大安山醫院）,고잔 （고대안산병원）,Gojan （Korea Univ. Ansan Hospital）,｜,,水仁·盆唐線 共線區間,,1.4,75.9,京畿道,安山市
安山線,452,草芝 （新安山大學）,초지 （신안산대학교）,Choji （Shin Ansan Univ.）,●,,水仁·盆唐線 共線區間,● 首都圈電鐵西海線,1.5,77.4,京畿道,安山市
安山線,453,安山,안산,Ansan,●,,水仁·盆唐線 共線區間,,1.8,79.2,京畿道,安山市
安山線,454,新吉溫泉,신길온천,Singil oncheon,｜,,水仁·盆唐線 共線區間,,2.2,81.4,京畿道,安山市
安山線,455,正往 （韓國產業技術大學）,정왕 （한국산업기술대）,Jeongwang （Tech Univ. of Korea）,●,,水仁·盆唐線 共線區間,,2.9,84.3,京畿道,始興市
安山線,456,烏耳島,오이도,Oido,●,,水仁·盆唐線 共線區間,,1.4,85.7,京畿道,始興市
安山線,京畿道,,,,,,,,,,,
