車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,營業距離,所在地,所在地.1
401,美南,미남,Minam,● 釜山都市铁道3号线,-,0.0,釜山廣域市,東萊區
402,東萊,동래,Dongnae,● 釜山都市铁道1号线,1.0,1.0,釜山廣域市,東萊區
403,壽安,수안 （동래읍성임진왜란역사관）,Suan,,0.7,1.7,釜山廣域市,東萊區
404,樂民,낙민,Nangmin,● 广域电铁东海线（東萊站）,0.7,2.4,釜山廣域市,東萊區
405,忠烈祠,충렬사 （안락）,Chungnyeolsa,● 广域电铁东海线（安樂站）,0.7,3.1,釜山廣域市,東萊區
406,鳴藏,명장,Myeongjang,,0.7,3.8,釜山廣域市,東萊區
407,書洞,서동,Seo-dong,,1.0,4.8,釜山廣域市,金井區
408,錦絲,금사,Geumsa,,0.8,5.6,釜山廣域市,金井區
409,盤如農產品市場,반여농산물시장,Banyeo Agricultural Market,,0.8,6.4,釜山廣域市,海雲臺區
410,石坮,석대,Seokdae,,1.2,7.6,釜山廣域市,海雲臺區
411,靈山大學,영산대 （아랫반송）,Youngsan Univ.,,1.4,9.0,釜山廣域市,海雲臺區
412,上盤松,윗반송,Witbansong,,1.1,10.1,釜山廣域市,海雲臺區
413,古村,고촌,Gochon,,0.8,10.9,釜山廣域市,機張郡
414,安平,안평 （고촌주택단지）,Anpyeong,,1.1,12.0,釜山廣域市,機張郡
