路線,車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,漣川开始 累積距離,所在地,所在地.1
↑直通光云大學,↑直通光云大學,↑直通光云大學,↑直通光云大學,↑直通光云大學,↑直通光云大學,↑直通光云大學,↑直通光云大學,↑直通光云大學,↑直通光云大學
饼店基地线,P157,餅店 （韓神大學）,병점 （한신대）,Byeongjeom （Hanshin Univ.）,京釜線,4.3,117.2,京畿道,華城市
饼店基地线,P157-1,西東灘,서동탄,Seodongtan,,2.2,119.4,京畿道,烏山市
