路線,車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,漣川开始 累積距離,所在地,所在地.1
↑直通永登浦,↑直通永登浦,↑直通永登浦,↑直通永登浦,↑直通永登浦,↑直通永登浦,↑直通永登浦,↑直通永登浦,↑直通永登浦,↑直通永登浦
始興連結線,P144,衿川區廳,금천구청,Geumcheon-gu Office,京釜線,1.2,85.8,首爾特別市,衿川區
始興連結線,P144-1,光明,광명,Gwangmyeong,京釜高速線,4.7,90.5,京畿道,光明市
