車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,累積距離,所在地,所在地.1
610,鷹岩,응암,Eungam,,-,0.0,首爾特別市,恩平區
611,驛村,역촌,Yeokchon,,1.1,1.1,首爾特別市,恩平區
612,佛光,불광,Bulgwang,● 首都圈電鐵3號線,0.8,1.9,首爾特別市,恩平區
613,瓮岩,독바위,Dokbawi,,0.9,2.8,首爾特別市,恩平區
614,延新川,연신내,Yeonsinnae,● 首都圈電鐵3號線 ● 首都圈廣域急行鐵道A路線,1.4,4.2,首爾特別市,恩平區
615,龜山,구산,Gusan,,0.9,5.1,首爾特別市,恩平區
610,鷹岩,응암,Eungam,,1.5,6.6,首爾特別市,恩平區
616,賽折 （新寺）,새절 （신사）,Saejeol （Sinsa）,,0.9,7.5,首爾特別市,恩平區
617,繒山 （明知大學）,증산 （명지대앞）,Jeungsan （Myongji Univ.）,,0.9,8.4,首爾特別市,恩平區
618,數碼媒體城,디지털미디어시티,Digital Media City,● 首都圈電鐵京義·中央線 ● 仁川國際機場鐵道,1.1,9.5,首爾特別市,恩平區
619,世界盃體育場 （城山）,월드컵경기장 （성산）,World Cup Stadium （Seongsan）,,0.8,10.3,首爾特別市,麻浦區
620,麻浦區廳,마포구청,Mapo-gu Office,,0.8,11.1,首爾特別市,麻浦區
621,望遠,망원,Mangwon,,1.0,12.1,首爾特別市,麻浦區
622,合井 （世亞大廈）,합정 （세아타워）,Hapjeong （SeAH Tower）,● 首爾地鐵2號線,0.8,12.9,首爾特別市,麻浦區
623,上水,상수,Sangsu,,0.8,13.7,首爾特別市,麻浦區
624,廣興倉 （西江）,광흥창 （서강）,Gwangheungchang （Seogang）,,0.9,14.6,首爾特別市,麻浦區
625,大興 （西江大學）,대흥 （서강대앞）,Daeheung （Sogang Univ.）,,1.0,15.6,首爾特別市,麻浦區
626,孔德,공덕,Gongdeok,● 首都圈電鐵5號線 ● 首都圈電鐵京義·中央線 ● 仁川國際機場鐵道,0.9,16.5,首爾特別市,麻浦區
627,孝昌公園,효창공원앞,Hyochang Park,● 首都圈電鐵京義·中央線,0.9,17.4,首爾特別市,龍山區
628,三角地,삼각지,Samgakji,● 首都圈电铁4号线,1.2,18.6,首爾特別市,龍山區
629,綠莎坪 （龍山區廳）,녹사평 （용산구청）,Noksapyeong （Yongsan-gu Office）,,1.1,19.7,首爾特別市,龍山區
630,梨泰院,이태원,Itaewon,,0.8,20.5,首爾特別市,龍山區
631,漢江鎮,한강진,Hangangjin,,1.0,21.5,首爾特別市,龍山區
632,波堤嶺,버티고개,Beotigogae,,1.0,22.5,首爾特別市,中區
633,藥水,약수,Yaksu,● 首都圈電鐵3號線,0.7,23.2,首爾特別市,中區
634,青丘,청구,Cheonggu,● 首都圈電鐵5號線,0.8,24.0,首爾特別市,中區
635,新堂,신당,Sindang,● 首爾地鐵2號線,0.7,24.7,首爾特別市,中區
636,東廟,동묘앞,Dongmyo,● 首都圈電鐵1號線,0.6,25.3,首爾特別市,鐘路區
637,昌信,창신,Changsin,,0.9,26.2,首爾特別市,鐘路區
638,普門,보문,Bomun,● 首爾輕電鐵牛耳新設線,0.8,27.0,首爾特別市,城北區
639,安岩 （高麗大學醫院）,안암 （고대병원앞）,Anam （Korea Univ. Hospital）,,0.9,27.9,首爾特別市,城北區
640,高麗大學 （鐘岩）,고려대 （종암）,Korea Univ. （Jongam）,,0.8,28.7,首爾特別市,城北區
641,月谷 （同德女子大學）,월곡 （동덕여대）,Wolgok （Dongduk Women's Univ.）,,1.4,30.1,首爾特別市,城北區
642,上月谷 （韓國科學技術研究院）,상월곡 （한국과학기술연구원）,Sangwolgok （KIST）,,0.8,30.9,首爾特別市,城北區
643,石串,돌곶이,Dolgoji,,0.8,31.7,首爾特別市,城北區
644,石溪,석계,Seokgye,● 首都圈電鐵1號線,1.0,32.7,首爾特別市,蘆原區
645,泰陵,태릉입구,Taereung,● 首爾地鐵7號線,0.8,33.5,首爾特別市,蘆原區
646,花郎臺 （首爾女子大學）,화랑대 （서울여대입구）,Hwarangdae （Seoul Women's Univ.）,,0.9,34.4,首爾特別市,蘆原區
647,烽火山 （首爾醫療院）,봉화산 （서울의료원）,Bonghwasan （Seoul Medical Center）,,0.7,35.1,首爾特別市,中浪區
648,新內,신내,Sinnae,● 首都圈電鐵京春線,1.3,36.4,首爾特別市,中浪區
