車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,營業距離,所在地,所在地.1
95,多大浦海水浴場 （沒雲臺）,다대포해수욕장 （몰운대）,Dadaepo Beach （Morundae）,,-,0.0,釜山廣域市,沙下区
96,多大浦港,다대포항,Dadaepo Harbor,,1.6,1.6,釜山廣域市,沙下区
97,納溉,낫개,Natgae,,1.3,2.9,釜山廣域市,沙下区
98,新長林,신장림 （하나병원）,Sinjangnim,,0.8,3.7,釜山廣域市,沙下区
99,長林,장림,Jangnim,,1.1,4.8,釜山廣域市,沙下区
100,東嵋,동매,Dongmae,,1.5,6.3,釜山廣域市,沙下区
101,新平,신평,Sinpyeong,,1.6,7.9,釜山廣域市,沙下区
102,下端,하단 （아트몰링）,Hadan,,1.6,9.5,釜山廣域市,沙下区
103,堂里,당리 （사하구청）,Dangni,,0.8,10.3,釜山廣域市,沙下区
104,沙下,사하,Saha,,0.9,11.2,釜山廣域市,沙下区
105,槐亭,괴정,Goejeong,,0.9,12.1,釜山廣域市,沙下区
106,大峙,대티,Daeti,,0.8,12.9,釜山廣域市,沙下区
107,西大新,서대신,Seodaesin,,1.4,14.3,釜山廣域市,西區
108,東大新,동대신,Dongdaesin,,0.7,15.0,釜山廣域市,西區
109,土城,토성,Toseong,,1.2,16.2,釜山廣域市,西區
110,札嘎其,자갈치,Jagalchi,,1.0,17.2,釜山廣域市,中區
111,南浦,남포 （해동병원）,Nampo,,0.7,17.9,釜山廣域市,中區
112,中央,중앙,Jungang,,0.9,18.8,釜山廣域市,中區
113,釜山站,부산역,Busan Station,京釜線,1.1,19.9,釜山廣域市,東區
114,草梁,초량,Choryang,,0.8,20.7,釜山廣域市,東區
115,釜山鎮,부산진 （동구청）,Busanjin,,0.8,21.5,釜山廣域市,東區
116,佐川,좌천,Jwacheon,,1.0,22.5,釜山廣域市,東區
117,凡一,범일,Beomil,,0.9,23.4,釜山廣域市,東區
118,凡內谷,범내골,Beomnaegol,,0.8,24.2,釜山廣域市,釜山镇区
119,西面,서면,Seomyeon,● 釜山都市铁道2号线,1.2,25.4,釜山廣域市,釜山镇区
120,釜田,부전 （부산시민공원·송상현광장）,Bujeon,● 广域电铁东海线 慶全線,0.6,26.0,釜山廣域市,釜山镇区
121,楊亭,양정,Yangjeong,,1.4,27.4,釜山廣域市,釜山镇区
122,市廳 （蓮堤）,시청 （연제）,City Hall,,0.8,28.2,釜山廣域市,莲堤区
123,蓮山,연산,Yeonsan,● 釜山都市铁道3号线,0.9,29.1,釜山廣域市,莲堤区
124,釜山教育大學,교대,Busan Nat'l Univ. of Edu.,● 广域电铁东海线,1.0,30.1,釜山廣域市,莲堤区
125,東萊,동래 （한국건강관리협회）,Dongnae,● 釜山都市铁道4号线,1.2,31.3,釜山廣域市,东莱区
126,明倫,명륜,Myeongnyun,,0.8,32.1,釜山廣域市,东莱区
127,溫泉場,온천장,Oncheonjang,,1.0,33.1,釜山廣域市,东莱区
128,釜山大學,부산대,Pusan Nat'l Univ.,,1.1,34.2,釜山廣域市,金井区
129,長箭,장전,Jangjeon,,1.0,35.2,釜山廣域市,金井区
130,久瑞,구서,Guseo,,1.1,36.3,釜山廣域市,金井区
131,斗實,두실,Dusil,,1.0,37.3,釜山廣域市,金井区
132,南山,남산,Namsan,,1.0,38.3,釜山廣域市,金井区
133,梵魚寺,범어사,Beomeosa,,0.9,39.2,釜山廣域市,金井区
134,老圃,노포 （종합버스터미널）,Nopo,,1.2,40.4,釜山廣域市,金井区
